X,Y,Location,Road,Area,City,District,Province,UID
74.4569,31.1135,Mizar Sharif Hazrat Baba Amiruddin,Kachehri Road,Kot Ghulam Muhammad Khan,Qasur City,,Punjab,{BA660566-D092-4573-820C-55F6E0371C1E}
74.4569,31.1332,Subhanallah Autoworkshop,District Head Quarter Road,,Qasur City,,Punjab,{7CAA1E02-B17E-4DF9-A843-89975C05517A}
74.4569,31.1334,Wali Hospital,District Head Quarter Road,,Qasur City,,Punjab,{136D5C72-EE45-44FB-A1F3-6AE65DAC6EAA}
74.457,31.1424,Paradize inn Resturant,Lahore-Qasur Road,,Qasur City,,Punjab,{7703C099-0669-4F58-A220-C3CF237B0465}
74.4571,31.1288,Sabzi Mandi Gate,College Road,,Qasur City,,Punjab,{D92F86D9-F7ED-44D5-9B4F-B03C42D9AE2B}
74.4572,31.1337,Ganj Bakhsh Auto workshop,District Head Quarter Road,,Qasur City,,Punjab,{2CED822C-60BB-48C8-A875-902FF53ABC32}
74.4573,32.2223,Mallowali,,,Tehsil Daskah,District Sialkot,Punjab,{C74C54D2-AF37-43A5-8E6E-998E49F0E8FD}
74.4574,31.122,Qasr-e-Ali Marriage Hall,,,Qasur City,,Punjab,{7EB4B62C-7647-4B43-9F21-BD0EBC648DB8}
74.4574,31.1414,Shan CNG,Lahore-Qasur Road,,Qasur City,,Punjab,{E68A87FC-71DB-483D-AC58-FC3CD460B244}
74.4575,31.1135,Government MC Primary Shcool for Boys,Kachehri Road,Kot Ghulam Muhammad Khan,Qasur City,,Punjab,{3B11D442-05CA-4D2B-B373-1E4275E8CC8A}
74.4575,31.1221,Abdurrashid Steel Works,,,Qasur City,,Punjab,{CCBED7FC-10D8-4902-B59D-1487437C249E}
74.4576,31.1344,Shaheen Autoworkshop,District Head Quarter Road,,Qasur City,,Punjab,{31388C1E-F858-4095-8D08-72A7C1DA92C0}
74.4577,31.3397,Badhwar,,,Lahore,lDistrict Lahore,Punjab,{5F068555-F0C2-4D60-A939-FA15A7F4E1C3}
74.4578,31.1292,Fuji Karyana,College Road,,Qasur City,,Punjab,{18A2221E-C996-4E72-843B-E8AF03730402}
74.458,31.1221,Zoha Shopping Centre,,,Qasur City,,Punjab,{46ADEFEE-D409-4685-A3B4-C417041703B6}
74.4581,31.1351,Zeenat Laboratory Alsharif Plaza,District Head Quarter Road,,Qasur City,,Punjab,{579FEBD9-14CD-4125-99A5-6A15F04798E5}
74.4581,31.2745,Sarhali Kalan,,,,District Kasur,Punjab,{B95979A4-6E90-448A-9C16-927EA6318ECE}
74.4583,31.2004,Lakhaneke,,,,District Kasur,Punjab,{D2B4F5F9-5BA3-408E-8AAE-508F7E979B32}
