X,Y,Location,Road,Area,City,District,Province
73.0906,31.4325,Rahim Educational Academy 28 New Civil Line,,,Faisalabad City,District Faisalabad,Punjab
73.0906,31.5913,Dholanwal,,,Faisalabad,Faisalabad,Punjab
73.0908,31.432,Ahmad Public Model School new Civil Line,,,Faisalabad City,District Faisalabad,Punjab
73.0908,31.4385,Police Station Nishatabad,Sargodha Road,,Faisalabad City,District Faisalabad,Punjab
73.0908,33.7282,PTA,Jinnah Avenue,Blue Area,Islamamabad City,Disttirct Islamamabad,Punjab
73.0909,30.2934,Chak 63 EB,,,Teshil Arifwala,District Pakpattan Sharif,Punjab
73.0909,31.4008,Joint Engineering Workshop Maqbool Road,,,Faisalabad City,District Faisalabad,Punjab
73.0909,31.4167,GTS Chowk,,,Faisalabad City,District Faisalabad,Punjab
73.0909,31.4461,Govt. Crescent Model School Sheikhupura Road,,,Faisalabad City,District Faisalabad,Punjab
73.091,31.4154,Taimur Bus Stand,,,Faisalabad City,District Faisalabad,Punjab
73.091,31.417,GTS Chowk,,,Faisalabad City,District Faisalabad,Punjab
73.091,31.4313,Shah Muhammad Chowk New Civil Line,,,Faisalabad City,District Faisalabad,Punjab
73.091039,34.006689,Narrain,Karakoram Highway Road,,,,NWFP
73.0911,31.3854,Main Goal Chowk Warispura,,,Faisalabad City,District Faisalabad,Punjab
73.0911,31.4255,Arshid Centre Laree Adda Road,,,Faisalabad City,District Faisalabad,Punjab
73.0911,31.4288,Muhammadia Genral Store Company Bagh Road,,,Faisalabad City,District Faisalabad,Punjab
73.0912,33.5595,Al-Shif Trust Eye Hospital,,,Rawalpindi City,District Rawalpindi,Punjab
73.0912,33.6538,Awan Colony,,,Rawalpindi City,District Rawalpindi,Punjab
73.0913,30.4686,Chak 99 D,,,,District Pakpattan Sharif,Punjab
73.0913,32.8161,Choa Ganj Ali Shah,,,Tehsil  Chakwal,District Chakwal,Punjab
73.0914,30.665,Central Jail Gate,,,Sahiwal City,,Punjab
73.0914,31.4257,Mian Muhammad Trust Hospital,,,Faisalabad City,District Faisalabad,Punjab
73.0914,33.6005,PAF,,,Rawalpindi City,District Rawalpindi,Punjab
73.0914,33.7352,Agha Khan Road,Constitution Avenue,,Islamamabad City,Disttirct Islamamabad,Punjab
73.0916,31.4365,Jamia Masjid Mujaddia,Sargodha Road,,Faisalabad City,District Faisalabad,Punjab
73.0916,32.7809,Basharat,,,Tehsil Choa Saidan Shah,District Chakwal,Punjab
73.0916,33.67,Kiani Farm House,Muree Road,,Islamamabad City, District Islamabad,Punjab
73.0916,33.7361,Sectriate Chowk,Constitution Avenue,,Islamamabad City,Disttirct Islamamabad,Punjab
73.0917,30.6565,Girja Ghar,,,Sahiwal City,District Sahiwal,Punjab
73.0917,33.7353,Agha Khan Road,Constitution Avenue,,Islamamabad City,Disttirct Islamamabad,Punjab
73.0918,30.4062,Maqbarewala,,,Teshil Arifwala,District Pakpattan Sharif,Punjab
73.0918,31.4291,Masjid Hanfia New Civil Line,,,Faisalabad City,District Faisalabad,Punjab
73.0919,30.5596,Chak 108-9L (Lal Tibba),,,Tehsil Sahiwal,District Sahiwal,Punjab
73.0919,31.455,Jamia Dar-ul- Qur'an,,,Faisalabad City,District Faisalabad,Punjab
73.092,31.4124,Railway lines Bridge Satiana Road,,,Faisalabad City,District Faisalabad,Punjab
73.092,31.4356,Govt. Jamia Chishtia High School,Sargodha Road,,Faisalabad City,District Faisalabad,Punjab
